stitle,accn,manually_added
"Human herpesvirus 3 strain YC02, complete genome",KJ767492,FALSE
"Human herpesvirus 3 clone VarivaxI, complete genome",KU926314,FALSE
"Human herpesvirus 3 clone YC01p61, complete genome",KU926317,FALSE
"Human herpesvirus 3 strain CA123, complete genome",DQ457052,FALSE
"Human herpesvirus 3 isolate HHV3_M2DR, complete genome",DQ452050,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-442, complete genome",MH709335,FALSE
"Human herpesvirus 3 isolate 134/2005, complete genome",JN704706,FALSE
"Human herpesvirus 3 strain 8, complete genome",DQ479960,FALSE
"Human herpesvirus 3 clone YC02p61, complete genome",KU926319,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-142, complete genome",MH709348,FALSE
"Human herpesvirus 3 isolate 2308/2003, complete genome",JN704699,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-403, complete genome",MH709331,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-232, complete genome",MH709320,FALSE
"Human herpesvirus 3 isolate 1256/2004, complete genome",JN704691,FALSE
"Human herpesvirus 3 strain YC03, complete genome",KJ808816,FALSE
"Human herpesvirus 3 DNA, complete genome, strain: Oka, sub_strain: pOka",AB097933,FALSE
"Human herpesvirus 3 isolate 3/2005, complete genome",JN704700,FALSE
"Human herpesvirus 3 clone SuduvaxI, complete genome",KU926312,FALSE
"Human herpesvirus 3 clone EllenI, complete genome",KU926311,FALSE
"Human herpesvirus 3 strain VarilRix, complete genome",DQ008354,FALSE
"Human herpesvirus 3 clone YC01p32, complete genome",KU926316,FALSE
"Human herpesvirus 3 strain NH29_3, complete genome",DQ674250,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-218, complete genome",MH709319,FALSE
"Human herpesvirus 3, complete genome",NC_001348,FALSE
"Human herpesvirus 3 clone YC03p110, complete genome",KU926322,FALSE
"Human herpesvirus 3 strain Ellen, complete genome",JQ972913,FALSE
"Human herpesvirus 3 strain MSP, complete genome",AY548170,FALSE
"Human herpesvirus 3 isolate 1883/2007, complete genome",JN704694,FALSE
"Human herpesvirus 3 isolate 1483/2005, complete genome",JN704709,FALSE
"Human herpesvirus 3 DNA, complete genome, strain: Oka, sub_strain: vOka",AB097932,FALSE
"Human herpesvirus 3 strain YC01, complete genome",KJ767491,FALSE
"Human herpesvirus 3 isolate MAV06, complete genome",JF306641,FALSE
"Human herpesvirus 3 isolate 413/2000, complete genome",JN704704,FALSE
"Human herpesvirus 3 strain SD, complete genome",DQ479953,FALSE
"Human herpesvirus 3 strain 32 passage 22, complete genome",DQ479962,FALSE
"Human herpesvirus 3 isolate 667/2005, complete genome",JN704693,FALSE
"Human herpesvirus 3 isolate 1003/2008, complete genome",JN704698,FALSE
"Human herpesvirus 3 strain SVETA, complete genome",EU154348,FALSE
"Human herpesvirus 3 isolate VZVs/Pasadena.USA/11.13(2)/Z, complete genome",KP702725,FALSE
"Human herpesvirus 3 strain 11, complete genome",DQ479955,FALSE
"Human herpesvirus 3 clone YC01p14, complete genome",KU926315,FALSE
"Human herpesvirus 3 clone YC02p110, complete genome",KU926320,FALSE
"Human herpesvirus 3 isolate 432/2008, complete genome",JN704695,FALSE
"Human herpesvirus 3 isolate 243/2000, complete genome",JN704690,FALSE
"Human herpesvirus 3 isolate Var160, complete genome",KC112914,FALSE
"Human herpesvirus 3 isolate 446/2007, complete genome",JN704707,FALSE
"Human herpesvirus 3 isolate 1805/2007, complete genome",JN704708,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-436, complete genome",MH709334,FALSE
"Human herpesvirus 3 isolate 1002/2008, complete genome",JN704697,FALSE
"Human herpesvirus 5 strain JHC, complete genome",HQ380895,FALSE
"Human herpesvirus 5 strain HANRTR4, complete genome",KY123651,FALSE
"Human herpesvirus 5 strain VR1814, complete genome",GU179289,FALSE
"Human herpesvirus 5 strain NAN4LA, complete genome",KU550089,FALSE
"Human herpesvirus 5 strain BE/33/2011, complete genome",KP745674,FALSE
"Human betaherpesvirus 5 strain PRA8, complete genome",KY490070,FALSE
"Human herpesvirus 5 strain JER5409, complete genome",KR534211,FALSE
"Human betaherpesvirus 5 strain HANSCTR1B, complete genome",KY490080,FALSE
"Human herpesvirus 5 strain PAV5, complete genome",KJ361961,FALSE
"Human herpesvirus 5 strain PAV18, complete genome",KJ872540,FALSE
"Human herpesvirus 5 strain PAV25, complete genome",KJ361969,FALSE
"Human herpesvirus 5 strain CZ/3/2012, complete genome",KP745685,FALSE
"Human herpesvirus 5 strain BE/21/2010, complete genome",KC519322,FALSE
"Human herpesvirus 5 strain CZ/1/2012, complete genome",KP745642,FALSE
"Human herpesvirus 5 strain DB, complete genome",KT959235,FALSE
"Human herpesvirus 5 strain 2CEN2, complete genome",KJ361946,FALSE
"Human herpesvirus 5 isolate VR5235, complete genome",KX544837,FALSE
"Human herpesvirus 5 strain BE/23/2010, complete genome",KP745697,FALSE
"Human herpesvirus 5 strain BE/1/2012, complete genome",KP745699,FALSE
"Human herpesvirus 5 strain JER5550, complete genome",KR534212,FALSE
"Human herpesvirus 5 strain JER5268, complete genome",KR534210,FALSE
"Human betaherpesvirus 5 strain PRA5, complete genome",KY490067,FALSE
"Human herpesvirus 5 strain HANRTR5, complete genome",KY123652,FALSE
"Human betaherpesvirus 5 isolate Toledo-p7 minority, complete genome",MF783091,FALSE
"Human herpesvirus 5 strain BE/3/2011, complete genome",KP745659,FALSE
"Human herpesvirus 5 strain BE/13/2012, complete genome",KP745707,FALSE
"Human herpesvirus 5 strain JER1070, complete genome",KR534199,FALSE
"Human betaherpesvirus 5 clone TAR Toledo-P, complete genome",MF783093,FALSE
"Human betaherpesvirus 5 strain LUS193, complete genome",MK290742,FALSE
"Human herpesvirus 5 strain BE/19/2011, complete genome",KP745654,FALSE
"Human herpesvirus 5 strain BE/42/2011, complete genome",KP745673,FALSE
"Human herpesvirus 5 strain 3301, complete genome",GQ466044,FALSE
"Human herpesvirus 5 strain PAV21, complete genome",KJ872542,FALSE
"Human betaherpesvirus 5 strain PAV31, complete genome",KY490061,FALSE
"Human betaherpesvirus 5 strain Ig-KG-H2, complete genome",MN274568,FALSE
"Human betaherpesvirus 5 strain NL/Rot6/Nasal/2012, complete genome",KT726945,FALSE
"Human betaherpesvirus 5 strain HANRTR10, complete genome",KY490078,FALSE
"Human herpesvirus 5 strain BE/1/2011, complete genome",KP745650,FALSE
"Human herpesvirus 5 strain Toledo/Towne Chimera 2, complete genome",KX101022,FALSE
"Human herpesvirus 5 strain BE/24/2011, complete genome",KP745711,FALSE
"Human herpesvirus 5 strain HANSCTR4, complete genome",KY123653,FALSE
"Human betaherpesvirus 5 strain HANRTR6, complete genome",KY490075,FALSE
"Human herpesvirus 5 strain BE/2/2012, complete genome",KP745710,FALSE
"Human herpesvirus 5 strain HAN39, complete genome",KJ361957,FALSE
"Human herpesvirus 5 strain BE/28/2010, complete genome",KP745676,FALSE
"Human herpesvirus 5 strain HAN28, complete genome",JX512207,FALSE
"Human herpesvirus 5 strain CZ/2/2012, complete genome",KP745643,FALSE
"Human gammaherpesvirus 4 UPN563_CD3+ DNA, nearly complete genome",AP019174,FALSE
"Human gammaherpesvirus 4 UPN263_PBMC DNA, nearly complete genome",AP019109,FALSE
"Human gammaherpesvirus 4 UPN1119_PBMC DNA, nearly complete genome",AP019043,FALSE
"Human gammaherpesvirus 4 UPN134_PBMC DNA, nearly complete genome",AP019062,FALSE
"Human gammaherpesvirus 4 UPN2_PBMC DNA, nearly complete genome",AP019088,FALSE
"Human gammaherpesvirus 4 UPN107_PBMC DNA, nearly complete genome",AP019030,FALSE
"Human gammaherpesvirus 4 UPN21_PBMC DNA, nearly complete genome",AP019090,FALSE
"Human gammaherpesvirus 4 UPN261_PBMC DNA, nearly complete genome",AP019107,FALSE
"Human gammaherpesvirus 4 UPN1757_PBMC DNA, nearly complete genome",AP019077,FALSE
"Human gammaherpesvirus 4 UPN111_PBMC DNA, nearly complete genome",AP019039,FALSE
"Human gammaherpesvirus 4 UPN13_PBMC DNA, nearly complete genome",AP019057,FALSE
"Human gammaherpesvirus 4 UPN584_PBMC DNA, complete genome",AP019180,FALSE
"Human gammaherpesvirus 4 UPN104_PBMC DNA, nearly complete genome",AP019026,FALSE
"Human gammaherpesvirus 4 UPN136_PBMC DNA, nearly complete genome",AP019064,FALSE
"Human gammaherpesvirus 4 UPN130_PBMC DNA, nearly complete genome",AP019058,FALSE
"Human gammaherpesvirus 4 UPN132_tumor DNA, complete genome",AP019061,FALSE
"Human gammaherpesvirus 4 UPN102_PBMC DNA, nearly complete genome",AP019025,FALSE
"Human gammaherpesvirus 4 UPN1111_PBMC DNA, nearly complete genome",AP019041,FALSE
"Human gammaherpesvirus 4 UPN255_PBMC DNA, nearly complete genome",AP019100,FALSE
"Human gammaherpesvirus 4 UPN260_PBMC DNA, nearly complete genome",AP019106,FALSE
"Human gammaherpesvirus 4 UPN138_tumor DNA, nearly complete genome",AP019067,FALSE
"Human gammaherpesvirus 4 UPN15_PBMC DNA, nearly complete genome",AP019074,FALSE
"Human gammaherpesvirus 4 UPN112_PBMC DNA, nearly complete genome",AP019044,FALSE
"Human gammaherpesvirus 4 UPN262_PBMC DNA, nearly complete genome",AP019108,FALSE
"Human gammaherpesvirus 4 isolate JC_VID14_BWA, complete genome",MG298927,FALSE
"Human gammaherpesvirus 4 UPN494_CD3+ DNA, nearly complete genome",AP019160,FALSE
"Human gammaherpesvirus 4 UPN365_CD56+ DNA, nearly complete genome",AP019133,FALSE
"Human gammaherpesvirus 4 UPN463_PBMC DNA, nearly complete genome",AP019156,FALSE
"Human gammaherpesvirus 4 isolate IMS_Saliva_90_BWA, complete genome",MG298924,FALSE
"Human gammaherpesvirus 4 isolate GK_LY91_BWA, complete genome",MG298918,FALSE
"Human gammaherpesvirus 4 UPN1202_PBMC DNA, nearly complete genome",AP019052,FALSE
"Human gammaherpesvirus 4 SNT16_cell DNA, nearly complete genome",AP019017,FALSE
"Human gammaherpesvirus 4 UPN1102_PBMC DNA, nearly complete genome",AP019036,FALSE
"Human gammaherpesvirus 4 isolate DF_Tonsil_T156_BWA, complete genome",MG298917,FALSE
"Human gammaherpesvirus 4 UPN1005_PBMC DNA, nearly complete genome",AP019022,FALSE
"Human gammaherpesvirus 4 UPN573_PBMC DNA, nearly complete genome",AP019178,FALSE
"Human gammaherpesvirus 4 UPN1101_PBMC DNA, nearly complete genome",AP019035,FALSE
"Human gammaherpesvirus 4 UPN25_PBMC DNA, nearly complete genome",AP019095,FALSE
"Human gammaherpesvirus 4 UPN498_PBMC DNA, nearly complete genome",AP019164,FALSE
"Human gammaherpesvirus 4 UPN259_PBMC DNA, nearly complete genome",AP019104,FALSE
"Human gammaherpesvirus 4 isolate IMS_Saliva_155_BWA, complete genome",MG298919,FALSE
"Human gammaherpesvirus 4 UPN554_PBMC DNA, nearly complete genome",AP019171,FALSE
"Human gammaherpesvirus 4 UPN185_PBMC DNA, nearly complete genome",AP019084,FALSE
"Human gammaherpesvirus 4 UPN23_PBMC DNA, nearly complete genome",AP019092,FALSE
"Human gammaherpesvirus 4 UPN1113_PBMC DNA, nearly complete genome",AP019042,FALSE
"Human gammaherpesvirus 4 isolate IMS_Saliva_5_BWA, complete genome",MG298922,FALSE
"Human gammaherpesvirus 4 UPN412_PBMC DNA, nearly complete genome",AP019147,FALSE
"Human gammaherpesvirus 4 UPN26_PBMC DNA, nearly complete genome",AP019105,FALSE
"Human gammaherpesvirus 4 UPN1002_PBMC DNA, nearly complete genome",AP019019,FALSE
"Human gammaherpesvirus 4 UPN303_CD56+ DNA, nearly complete genome",AP019119,FALSE
"Human gammaherpesvirus 4 UPN307_CD56+ DNA, nearly complete genome",AP019122,FALSE
"Human gammaherpesvirus 4 UPN417_CD3+ DNA, nearly complete genome",AP019149,FALSE
"Human gammaherpesvirus 4 UPN99_PBMC DNA, nearly complete genome",AP019188,FALSE
"Human gammaherpesvirus 4 UPN1120_PBMC DNA, nearly complete genome",AP019045,FALSE
"Human gammaherpesvirus 4 UPN105_tumor DNA, complete genome",AP019028,FALSE
"Human gammaherpesvirus 4 UPN1104_PBMC DNA, nearly complete genome",AP019037,FALSE
"Human gammaherpesvirus 4 UPN520_PBMC DNA, nearly complete genome",AP019169,FALSE
"Human gammaherpesvirus 4 UPN108_tumor DNA, nearly complete genome",AP019032,FALSE
"Human gammaherpesvirus 4 UPN125_PBMC DNA, nearly complete genome",AP019054,FALSE
"Human gammaherpesvirus 4 isolate IMS_Saliva_216_BWA, complete genome",MG298921,FALSE
"Human gammaherpesvirus 4 UPN136_tumor DNA, nearly complete genome",AP019065,FALSE
"Human gammaherpesvirus 4 UPN1110_PBMC DNA, complete genome",AP019040,FALSE
"Human gammaherpesvirus 4 UPN431_CD56+ DNA, nearly complete genome",AP019154,FALSE
"Human gammaherpesvirus 4 UPN19_PBMC DNA, nearly complete genome",AP019085,FALSE
"Human gammaherpesvirus 4 UPN88_CD56+-3 DNA, nearly complete genome",AP019183,FALSE
"Human gammaherpesvirus 4 UPN375_CD56+ DNA, nearly complete genome",AP019138,FALSE
"Human gammaherpesvirus 4 UPN1756_PBMC DNA, complete genome",AP019076,FALSE
"Human gammaherpesvirus 4 isolate IMS_Saliva_81_BWA, complete genome",MG298923,FALSE
"Human gammaherpesvirus 4 isolate JC_VID41_BWA, complete genome",MG298928,FALSE
"Human gammaherpesvirus 4 UPN3755_tissue DNA, nearly complete genome",AP019139,FALSE
"Human gammaherpesvirus 4 UPN113_PBMC DNA, nearly complete genome",AP019047,FALSE
"Human gammaherpesvirus 4 UPN1106_PBMC DNA, nearly complete genome",AP019038,FALSE
"Human gammaherpesvirus 4 isolate JC_027_BWA, complete genome",MG298925,FALSE
"Human gammaherpesvirus 4 UPN251_PBMC DNA, complete genome",AP019096,FALSE
"Human gammaherpesvirus 4 isolate JC_039_BWA, complete genome",MG298926,FALSE
"Human gammaherpesvirus 4 UPN404_PBMC DNA, nearly complete genome",AP019142,FALSE
"Human gammaherpesvirus 4 UPN1008_PBMC DNA, nearly complete genome",AP019024,FALSE
"Human gammaherpesvirus 4 UPN486_PBMC DNA, nearly complete genome",AP019159,FALSE
"Human gammaherpesvirus 4 UPN519_PBMC DNA, nearly complete genome",AP019168,FALSE
"Human gammaherpesvirus 4 UPN24_PBMC DNA, nearly complete genome",AP019094,FALSE
"Human gammaherpesvirus 4 UPN98_PBMC DNA, nearly complete genome",AP019187,FALSE
"Human gammaherpesvirus 4 isolate GDGC1, complete genome",KX674064,FALSE
"Human gammaherpesvirus 4 UPN257_PBMC DNA, complete genome",AP019102,FALSE
"Human gammaherpesvirus 4 UPN2329_PBMC DNA, nearly complete genome",AP019093,FALSE
"Human gammaherpesvirus 4 UPN88_CD56+-1 DNA, nearly complete genome",AP019182,FALSE
"Human gammaherpesvirus 4 UPN17_PBMC DNA, nearly complete genome",AP019075,FALSE
"Human gammaherpesvirus 4 UPN114_PBMC DNA, nearly complete genome",AP019048,FALSE
"Human gammaherpesvirus 4 UPN1201_PBMC DNA, nearly complete genome",AP019051,FALSE
"Human gammaherpesvirus 4 UPN109_PBMC DNA, nearly complete genome",AP019033,FALSE
"Human gammaherpesvirus 4 UPN1926_PBMC DNA, complete genome",AP019087,FALSE
"Human gammaherpesvirus 4 isolate IMS_Saliva_187_BWA, complete genome",MG298920,FALSE
"Human gammaherpesvirus 4 UPN22_PBMC DNA, nearly complete genome",AP019091,FALSE
"Human gammaherpesvirus 4 strain rMSHJ, complete genome",MK973062,FALSE
"Human gammaherpesvirus 4 UPN1813_PBMC DNA, nearly complete genome",AP019082,FALSE
"Human gammaherpesvirus 4 UPN306_CD56+ DNA, nearly complete genome",AP019120,FALSE
"Human gammaherpesvirus 4 UPN142_gdT-1 DNA, nearly complete genome",AP019071,FALSE
"Human gammaherpesvirus 4 UPN322_CD3+ DNA, nearly complete genome",AP019126,FALSE
"Human gammaherpesvirus 4 DNA, nearly complete genome, strain: HNNPC3",LC150327,FALSE
"Human gammaherpesvirus 4 UPN494_CD56+ DNA, nearly complete genome",AP019161,FALSE
"Human gammaherpesvirus 4 UPN5575_PBMC DNA, nearly complete genome",AP019172,FALSE
"Human gammaherpesvirus 4 UPN3707_PBMC DNA, nearly complete genome",AP019136,FALSE
"Human gammaherpesvirus 4 SNT8_cell DNA, nearly complete genome",AP019018,FALSE
"Human gammaherpesvirus 4 UPN105_PBMC DNA, nearly complete genome",AP019027,FALSE
"Human gammaherpesvirus 4 UPN123_tumor DNA, nearly complete genome",AP019053,FALSE
"Human gammaherpesvirus 4 UPN253_PBMC DNA, nearly complete genome",AP019098,FALSE
"Human gammaherpesvirus 4 UPN497_PBMC DNA, nearly complete genome",AP019163,FALSE
"Human gammaherpesvirus 4 SNK10_cell DNA, nearly complete genome",AP019014,FALSE
"Human gammaherpesvirus 4 UPN326_PBMC DNA, nearly complete genome",AP019128,FALSE
"Human gammaherpesvirus 4 UPN404_CD56+ DNA, nearly complete genome",AP019141,FALSE
"Human gammaherpesvirus 4 UPN431_CD3+ DNA, nearly complete genome",AP019153,FALSE
