category	reads	sample	run
raw_reads	1358934	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	73558	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
low_entropy	2832	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
low_quality	21	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
passing_filter	1282523	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	1183517	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
matching_bact1	1532	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
matching_bact2	201	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
matching_bact3	425	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
matching_fungi1	13	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	358	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
reads_to_blast	96477	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
viral_reads	458	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
undetermined_reads	96019	1000206434-BR-RNA_S9	180209_M01274_0205_000000000-BHDFY
raw_reads	270533	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	22659	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
low_entropy	328	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
low_quality	8	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
passing_filter	247538	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	42908	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
matching_bact1	143769	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
matching_bact2	480	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
matching_bact3	1045	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
matching_fungi1	34	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	812	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
reads_to_blast	58490	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
viral_reads	126	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
undetermined_reads	58364	1000243675-AR-RNA_S6	180209_M01274_0205_000000000-BHDFY
raw_reads	708723	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	69020	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
low_entropy	27503	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
low_quality	68	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
passing_filter	612132	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	408805	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
matching_bact1	18423	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
matching_bact2	580	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
matching_bact3	1615	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
matching_fungi1	7	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	2214	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
reads_to_blast	180488	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
viral_reads	127	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
undetermined_reads	180361	Undetermined_S0	180209_M01274_0205_000000000-BHDFY
raw_reads	1053564	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	77805	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
low_entropy	1075	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
low_quality	19	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
passing_filter	974665	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	770721	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
matching_bact1	37139	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
matching_bact2	601	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
matching_bact3	1401	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
matching_fungi1	61	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	769	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
reads_to_blast	163973	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
viral_reads	199	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
undetermined_reads	163774	1000205948-AR-RNA_S8	180209_M01274_0205_000000000-BHDFY
raw_reads	246563	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	26535	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
low_entropy	480	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
low_quality	6	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
passing_filter	219542	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	132750	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
matching_bact1	4882	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
matching_bact2	402	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
matching_bact3	841	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
matching_fungi1	4	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	4097	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
reads_to_blast	76566	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
viral_reads	126	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
undetermined_reads	76440	1000247089-AR-RNA_S7	180209_M01274_0205_000000000-BHDFY
raw_reads	9699359	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	339307	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
low_entropy	332979	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
low_quality	68	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
passing_filter	9027005	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	8756761	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
matching_bact1	212	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
matching_bact2	28	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
matching_bact3	87	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
matching_fungi1	0	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	57	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
reads_to_blast	269860	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
viral_reads	378	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
undetermined_reads	269482	1000206434-BR-DNA_S4	180209_M01274_0205_000000000-BHDFY
raw_reads	2685047	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	80323	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
low_entropy	61586	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
low_quality	17	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
passing_filter	2543121	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	1404915	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
matching_bact1	740962	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
matching_bact2	24841	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
matching_bact3	72662	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
matching_fungi1	180	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	26364	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
reads_to_blast	273197	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
viral_reads	3350	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
undetermined_reads	269847	1000243675-AR-DNA_S1	180209_M01274_0205_000000000-BHDFY
raw_reads	7952	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	1219	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
low_entropy	24	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
low_quality	0	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
passing_filter	6709	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	254	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
matching_bact1	976	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
matching_bact2	182	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
matching_bact3	701	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
matching_fungi1	0	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	0	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
reads_to_blast	4596	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
viral_reads	7	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
undetermined_reads	4589	NTC-DNA_S5	180209_M01274_0205_000000000-BHDFY
raw_reads	13136957	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	647970	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
low_entropy	621396	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
low_quality	73	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
passing_filter	11867518	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	10980507	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
matching_bact1	70635	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
matching_bact2	2637	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
matching_bact3	13585	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
matching_fungi1	48	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	27359	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
reads_to_blast	772747	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
viral_reads	833	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
undetermined_reads	771914	1000205948-AR-DNA_S3	180209_M01274_0205_000000000-BHDFY
